,id,no_civique,rue,no_local,code_postal,etage,entreprise,telephone,enfant,type_etablissement,usage_1,usage_2,usage_3,type_scian,secteur_nom,classe_nom,neq,secteur_commercial,grandes_chaines,date_creation,date_modification,Longitude,Latitude
830,7f559b2e-6996-43b1-ba45-69faa658cd03,2391,Chemin de Sainte-Catherine,,J1N 2X4,1,PROPANE DE L'ESTRIE ET PATIOS DIANE,819 346-5450,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Marchands de gaz de pétrole liquéfiés (gaz en bouteille),457212.0,Commerce de détail,Marchands de gaz de pétrole liquéfiés (gaz en bouteille),1147539374.0,Université,False,2020-04-16,2024-07-18,-71.9353362,45.3641738
831,54231452-8402-4485-8a8f-085e72e6c91d,1912,Rue Chevalier,,J1K 1E2,1,GESTION MARIO BOURQUE,,False,Commerce de gros/para-industriel,Services d'affaires,Services immobiliers,Autres activités liées à l'immobilier,531390.0,Services immobiliers et services de location et de location à bail,Autres activités liées à l'immobilier,,Université,False,2020-07-23,2024-07-24,-71.9213259,45.3889861
833,2e5cf3d1-7088-45b3-a89b-a6d475374ea1,563,Rue du Parc-Industriel,,J1C 0J2,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Brompton,False,2020-07-14,2024-07-11,-71.961278,45.4590528
834,cd62514c-ab0c-421c-ac7a-cd5c0f363f5a,592,Rue Saint-Lambert,,J1C 0J7,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Brompton,False,2024-06-19,2024-07-11,-71.93449502045651,45.45159156948402
835,c7089e7d-d9de-4241-b448-68ad901076b3,594,Rue Saint-Lambert,,J1C 0J7,1,VACANT,,False,Commerce de gros/para-industriel,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Brompton,False,2024-06-19,2024-07-11,-71.93452439763603,45.451283791344856
836,6a29472b-bc3b-4178-befd-e27859a8cb8f,500,Rue du Parc-Industriel,,J1C 0J2,1,BROMPTON-WINDSOR ENTREPOSAGE,819 846-1722,False,Commerce,Services aux consommateurs,Location,Mini-entrepôts libre-service,531130.0,Services immobiliers et services de location et de location à bail,Mini-entrepôts libre-service,1160892478.0,Brompton,False,2020-07-14,2024-07-15,-71.9644187,45.4659576
837,5dbcf427-500d-4da0-8cc3-f33d6f447c33,534,Rue du Parc-Industriel,,J1C 0J2,"1,2",LES ÉQUIPEMENTS R.M. NADEAU,819 846-6828,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines et matériel pour l'agriculture, l'entretien des pelouses et le jardinage",417110.0,Commerce de gros,"Grossistes-marchands de machines et matériel pour l'agriculture, l'entretien des pelouses et le jardinage",1144804987.0,Brompton,False,2020-07-14,2024-07-15,-71.9636967,45.4630769
838,62690310-67a8-4220-8b90-d4790ca6e9c5,556,Rue du Parc-Industriel,,J1C 0J2,1,PAVAGE LAVALLÉE ET TANGUAY INC.,819 564-1296,False,Commerce de gros/para-industriel,Construction,Construction,Tous les autres entrepreneurs spécialisés,238990.0,Construction,Tous les autres entrepreneurs spécialisés,1172626914.0,Brompton,False,2020-07-14,2024-07-15,-71.9636277,45.4595029
839,42bd0147-c12f-46e0-8489-ee94e34ab0ff,550,Rue du Parc-Industriel,,J1C 0J2,"1,2",MATÉRIAUX DE CONSTRUCTION LÉTOURNEAU,819 846-4433,False,Commerce,Biens semi-courants,"Quincaillerie, centre de rénovation, jardinage",Centres de rénovation,444110.0,Commerce de détail,Centres de rénovation,1146273850.0,Brompton,False,2020-07-14,2024-07-15,-71.9635578,45.4612207
840,859feede-57b0-41e2-a6d8-533c61895422,538,Rue du Parc-Industriel,,J1C 0J2,1,9289-9103 QUÉBEC INC.,,False,Commerce de gros/para-industriel,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,1169542769.0,Brompton,False,2020-07-14,2024-07-15,-71.9634951,45.4626837
841,5e44dc8e-1aa7-4d66-96fe-9fce94e5e5ad,540,Rue du Parc-Industriel,,J1C 0J2,1,SONICARTE DÉPÔT BROMPTONVILLE,819 563-1181,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands de pétrole et de produits pétroliers,412110.0,Commerce de gros,Grossistes-marchands de pétrole et de produits pétroliers,1171374037.0,Brompton,False,2020-07-14,2024-07-15,-71.9634177,45.462375
842,235f269b-54f1-44e0-94f3-1a60e62ec9c8,1010,Rue de l'Ardoise,,J1C 0J6,1,O. HAINAULT,819 993-7666,False,Commerce de gros/para-industriel,Services d'affaires,Entretien,Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique),811310.0,Autres services (sauf les administrations publiques),Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique),1167134882.0,Brompton,False,2020-07-14,2024-07-15,-71.9610163,45.4499189
843,4ea83b00-eca6-47ca-abe8-a14f10ea12cf,510,Chemin Giroux,,J1C 0J8,1,REMORQUE GATOR,819 340-0300,False,Commerce de gros/para-industriel,Fabrication,Fabrication de véhicules,"Fabrication de maisons mobiles, roulottes de tourisme et campeuses",336215.0,Fabrication,"Fabrication de maisons mobiles, roulottes de tourisme et campeuses",1167284737.0,Brompton,False,2020-07-21,2024-07-15,-71.9598664,45.4638376
844,967bc182-f7d0-4dfa-a325-2d0a1e0ee50b,800,Rue de l'Ardoise,,J1C 0J6,"1,2",EXCAVATION RENÉ ST-PIERRE,819 565-1494,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en préparation de terrains,238910.0,Construction,Entrepreneurs en préparation de terrains,1142834887.0,Brompton,False,2020-07-14,2024-07-15,-71.9595441,45.4540775
845,c1f4a19c-86a5-4686-bacd-c58bdb10590d,500,Chemin Giroux,,J1H 6J8,1,VILLE DE SHERBROOKE,819 823-8000,False,Commerce de gros/para-industriel,Organismes publics et privés,Organismes publics,"Autres services des administrations publiques locales, municipales et régionales",913910.0,Administrations publiques,"Autres services des administrations publiques locales, municipales et régionales",8831854920.0,Brompton,False,2021-10-26,2024-07-15,-71.9594402,45.4642616
846,0b1a3023-c566-4274-a36d-831d9ac94a6a,501,Chemin Giroux,,J1C 0J8,1,DBO EXPERT,819 846-3642,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en préparation de terrains,238910.0,Construction,Entrepreneurs en préparation de terrains,1176414507.0,Brompton,False,2020-07-14,2024-07-15,-71.9569247,45.4672717
847,31981dbf-59df-4a94-85b6-468b5cc988cc,333,Route de Windsor,,J1C 0E5,1,LES ENCHÈRES A/B,819 572-1279,False,Commerce,Biens réfléchis,Ventes aux enchères,Ventes aux enchères,459999.0,Commerce de détail,Tous les autres détaillants de détail divers (sauf les détaillants de matériel pour la fabrication de la bière et du vin),3348581664.0,Brompton,False,2020-07-14,2024-07-11,-71.9525802,45.4854956
848,017c05e6-84e2-403d-b7fb-8c1c5f226eb5,445,Rue Laval,,J1C 0R1,1,DÉPANNEUR PROXI,819 846-4747,False,Commerce,Biens courants,Alimentation,Stations-service avec dépanneurs,457110.0,Commerce de détail,Stations-service avec dépanneurs,1171544589.0,Brompton,False,2020-07-14,2024-07-15,-71.9522391,45.4690243
849,fa110bbb-73a4-4c5d-8b54-2f610d57613c,435,Rue Laval,,J1C 0R1,1,TIM HORTONS,819 846-3535,False,Commerce,"Restauration, divertissement et hôtellerie",Restauration,"Restaurants rapides, Cantines",722512.0,Services d'hébergement et de restauration,Établissements de restauration à service restreint,1174147869.0,Brompton,True,2020-07-14,2024-07-15,-71.9522391,45.4690243
850,8fad09d8-52a3-47af-9970-26e8075e86f7,50,Rue du Docteur-Allard,,J1C 0S4,1,ARÉNA PHILIPPE BERGERON,819 564-8001,False,Lieu public,"Restauration, divertissement et hôtellerie",Installations sportives et de loisirs,Centres de sports récréatifs,713940.0,"Arts, spectacles et loisirs",Centres de sports récréatifs et de conditionnement physique,1173104648.0,Brompton,False,2020-07-14,2024-07-11,-71.95219019999999,45.4745472
851,fafe6238-b85c-4abf-997c-31e6469736bb,512,Rue Joseph-Latour,,J1C 0W2,1,A. R. WILSON,819 569-2509,False,Commerce de gros/para-industriel,Construction,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",238220.0,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",1164646284.0,Brompton,False,2020-07-14,2024-07-15,-71.9497803,45.464891
852,2df0255c-8b9c-4bca-9764-11136eec4b99,350,Rue Laval,C,J1C 0R1,1,BÉTON DESIGN,819 570-0422,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en autres travaux de finition de bâtiment,238390.0,Construction,Entrepreneurs en autres travaux de finition de bâtiment,1165152837.0,Brompton,False,2021-11-09,2024-07-15,-71.9498167,45.4685018
853,29919cf4-3a25-4521-bc1a-34ba4f1a860b,50,Rue Bourgeoys,,J1C 0R4,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Brompton,False,2020-07-14,2024-07-11,-71.9490276,45.4705033
855,7ad341d3-eecd-43bd-85b7-c66b2ffc7f33,100,Rue des PME,,J1C 0R2,2,PRIVUS DESIGN,819 846-1990,False,Commerce de gros/para-industriel,Services professionnels,"Architecture, génie et services connexes",Services de design industriel,541420.0,"Services professionnels, scientifiques et techniques",Services de design industriel,1140422933.0,Brompton,False,2020-07-14,2024-07-15,-71.9488078,45.4679247
856,63288ad1-4254-4ef9-901d-f56163ef53e6,295,Rue Laval,,J1C 0R1,1,CLIMATISATION A. C. INC.,819 446-7501,False,Commerce de gros/para-industriel,Construction,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",238220.0,Construction,"Entrepreneurs en plomberie, chauffage et climatisation",1172998156.0,Brompton,False,2020-07-14,2024-07-15,-71.94855629999999,45.469887
857,ba68feb3-ec4e-4aa0-b3b3-b2696aeda637,245,Rue Laval,,J1C 0R1,1,DÉPANNEUR BROMPTON,819 846-2203,False,Commerce,Biens courants,Alimentation,Stations-service avec dépanneurs,457110.0,Commerce de détail,Stations-service avec dépanneurs,1161345690.0,Brompton,False,2020-07-14,2024-07-11,-71.94804239999999,45.4702915
858,6a3136ad-0636-4011-8c40-5b951c0b0ac5,215,Rue Laval,,J1C 0R1,1,CONSTRUCTION MF GUILLEMETTE,819 846-4816,False,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110.0,Construction,Construction résidentielle,1144042562.0,Brompton,False,2020-07-14,2024-07-11,-71.94798109999999,45.47049750000001
859,4841cbe3-8077-4324-9b7a-8b623f0b3baf,250,Rue Laval,6,J1C 0R1,1,MEUBLES ET BOIS CHIC RUSTIQUE,819 239-6025,False,Commerce de gros/para-industriel,Fabrication,Mobilier,Fabrication d'autres meubles de maison en bois,337123.0,Fabrication,Fabrication d'autres meubles de maison en bois,,Brompton,False,2020-07-14,2024-07-15,-71.9477538,45.469323900000006
860,66e3e9da-618b-434c-93b5-d01b81f1c1b5,116,Rue des PME,,J1C 0R2,1,PRISM ENR.,,False,Commerce de gros/para-industriel,Fabrication,Fabrication d'appareils électriques et électroniques,Fabrication d'appareils d'éclairage,335130.0,Fabrication,Fabrication de matériel électrique d'éclairage,,Brompton,False,2024-06-18,,-71.94777375571178,45.46737136937328
865,9ce58eca-b33f-42a4-b2b3-0256ffe3c3ea,136,Rue du Curé-LaRocque,,J1C 0T2,1,SALON DE BEAUTÉ LA PATRONNE,819 212-3822,False,Commerce,Services aux consommateurs,Soins personnels,Salons de coiffure unisexes,812116.0,Autres services (sauf les administrations publiques),Salons de coiffure unisexes,1176244474.0,Brompton,False,2021-04-13,2024-07-11,-71.94744080000001,45.4736191
866,19508c4f-925d-4150-b1ad-010c2cee9136,210,Route de Windsor,,J1C 0E4,1,DÉPANNEUR BONI-SOIR,819 846-6169,False,Commerce,Biens courants,Alimentation,Stations-service avec dépanneurs,457110.0,Commerce de détail,Stations-service avec dépanneurs,2270602305.0,Brompton,True,2020-07-14,2024-07-11,-71.94707009999999,45.4816815
867,b2b78129-9d59-4e99-ba1b-c698a711a133,125,Rue Oliva-Turgeon,,J1C 0R3,1,ENVIRONMENT SMMC,819 845-3137,False,Commerce de gros/para-industriel,Services professionnels,"Architecture, génie et services connexes",Services de génie,541330.0,"Services professionnels, scientifiques et techniques",Services de génie,,Brompton,False,2024-06-18,2024-07-15,-71.94679968671088,45.46838324911527
868,a02f3f9e-ce28-426c-99ba-fd36e7c7c5ce,191,Rue des PME,,J1C 0R2,1,CLUB DE MOTONEIGE HARFANG DE L'ESTRIE,819 562-0300,False,Commerce de gros/para-industriel,Organismes publics et privés,"Organismes communautaires, fondations, groupes de citoyens",Organisations civiques et sociales,813410.0,Autres services (sauf les administrations publiques),Organisations civiques et sociales,1164397078.0,Brompton,False,2020-07-14,2024-07-15,-71.9447259,45.4674313
871,03a12e50-f3f8-4ccb-ac08-7137c2743bb7,80,Rue de la Croix,,J1C 0R7,"1, 2, 3, 4","ÉCOLE PRIMAIRE DES DEUX-RIVES, PAV. 2",819 822-5504,False,Institution,Services d'enseignement,Services d'enseignement,Écoles primaires et secondaires,611110.0,Services d'enseignement,Écoles primaires et secondaires,8831850100.0,Brompton,False,2020-07-14,2024-07-11,-71.946625,45.472426000000006
872,a7bf83e8-7cf8-44ba-b5e9-03c53bd53539,170,Route de Windsor,,J1C 0E5,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Brompton,False,2020-07-14,2024-07-11,-71.94620789999999,45.48130189999999
873,21060719-a198-4bfd-bb81-7bb653333c4c,115,Rue Oliva-Turgeon,,J1C 0R3,1,POMPAGES DE BETON ALPHA,819 846-0038,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110.0,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1178183803.0,Brompton,False,2020-07-14,2024-07-15,-71.9460266,45.4688206
874,fe7d546a-446c-433b-9aa8-0d7321b53194,81,Rue du Curé-LaRocque,,J1C 0T2,1,BIBLIOTHÈQUE GISÈLE-BERGERON,819 846-6645,False,Institution,Organismes publics et privés,Organismes publics,Bibliothèques,519211.0,Industrie de l'information et industrie culturelle,Bibliothèques,1160005907.0,Brompton,False,2020-07-14,2024-07-11,-71.9457268,45.4745498
876,cecf4d32-901a-4b27-8a90-fe7ac287019d,81,Rue Saint-Jean-Baptiste,,J1C 0S9,1,DÉMÉNAGEMENT MARTIN ENR.,819 846-1853,False,Commerce de gros/para-industriel,Services aux consommateurs,Déménagement,Déménagement de biens usagés de maison et de bureau,484210.0,Transport et entreposage,Déménagement de biens usagés de maison et de bureau,1160124070.0,Brompton,False,2020-07-14,2024-07-11,-71.9457633,45.4723381
877,1a5e2f36-421a-48c6-a7cd-2608cd16a549,133,Rue Laval,,J1C 0P9,2,GROUPE SCOUT GEYSER DE BROMPTON,819 574-2884,False,Commerce,Organismes publics et privés,"Organismes communautaires, fondations, groupes de citoyens",Organisations civiques et sociales,813410.0,Autres services (sauf les administrations publiques),Organisations civiques et sociales,1145217544.0,Brompton,False,2020-07-14,2024-07-11,-71.9452021,45.47283410000001
878,0bc72b3c-6282-4e20-a6dc-f15bef8e7892,82,Rue Saint-Jean-Baptiste,,J1C 0S9,1,LA PLACE DES JEUNES L'INTERVALLE,819 846-6008,False,Commerce,Organismes publics et privés,"Organismes communautaires, fondations, groupes de citoyens",Organismes d'action sociale,813310.0,Autres services (sauf les administrations publiques),Organismes d'action sociale,1143101054.0,Brompton,False,2022-12-07,2024-07-11,-71.9452021,45.47283410000001
879,1b5c3ffd-6c2f-432e-8358-360c3e18c937,72,Rue du Curé-LaRocque,,J1C 0T2,1,COOPÉRATIVE FUNÉRAIRE DE L'ESTRIE,819 565-7646,False,Commerce,Services aux consommateurs,Services funéraires,Salons funéraires,812210.0,Autres services (sauf les administrations publiques),Salons funéraires,1144983278.0,Brompton,False,2020-07-14,2024-07-11,-71.9450796,45.4741199
880,4ed4dad5-e13d-426c-ba6b-d9a4b3d67e02,165,Route de Windsor,,J1C 0E5,1,ATELIER MÉCANIQUE ELP,819 846-2220,False,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,1165704819.0,Brompton,False,2020-07-14,2024-07-11,-71.9448596,45.4815436
881,020a3c07-8b7d-4b59-9f4d-b0184b4da501,33,Rue du Curé-LaRocque,,J1C 0T2,"1, 2",LA LIBELLULE DE KEILA ET VÉRO INC.,819 636-0400,False,Commerce,Organismes publics et privés,"Organismes communautaires, fondations, groupes de citoyens",Organismes d'action sociale,813310.0,Autres services (sauf les administrations publiques),Organismes d'action sociale,1173614299.0,Brompton,False,2020-07-14,2024-07-11,-71.9445369,45.4749918
882,1dfeea4e-f214-43c8-b265-a89a8cd307ad,114,Rue Laval,,J1C 0P9,1,BMR CENTRE DE RÉNOVATION,819 846-2484,False,Commerce,Biens semi-courants,"Quincaillerie, centre de rénovation, jardinage",Centres de rénovation,444110.0,Commerce de détail,Centres de rénovation,1146936969.0,Brompton,True,2020-12-03,2024-07-11,-71.9441396,45.4727182
883,4778bc77-f5a7-4a6c-b8f7-81ff8d2545c9,80,Rue Laval,,J1C 0P9,1,COIFFURE HAUTE TENSION,819 212-0767,False,Commerce,Services aux consommateurs,Soins personnels,Salons de coiffure unisexes,812116.0,Autres services (sauf les administrations publiques),Salons de coiffure unisexes,,Brompton,False,2021-03-02,2024-07-11,-71.9436838,45.4736101
884,f2f15bf0-028b-4e34-aa9c-92e28d78c27a,78,Route de Windsor,,J1C 0E5,"1,2",DGW ÉLECTRIQUE  INC.,819 846-1959,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux d'électricité et en installation de câblage,238210.0,Construction,Entrepreneurs en travaux d'électricité et en installation de câblage,1173224115.0,Brompton,False,2020-07-14,2024-07-11,-71.9422653,45.4793688
885,bc40df40-86b9-4798-b028-65a2584d7331,49,Rue Saint-Lambert,,J1C 0N7,1,NANOBRASSERIE L'ANCIENNE FORGE,819 636-0506,False,Commerce,"Restauration, divertissement et hôtellerie",Débits de boissons alcoolisées,Débits de boissons alcoolisées,722410.0,Services d'hébergement et de restauration,Débits de boissons alcoolisées,1175718973.0,Brompton,False,2020-07-14,2024-07-11,-71.9417649,45.4747612
886,8e30287d-f423-45c6-963e-c6b9ffe27415,94,Rue Saint-Lambert,,J1C 0N8,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Brompton,False,2020-07-14,2024-07-11,-71.9405353,45.473833500000005
887,9da528e7-82d5-480f-b282-3485f3d0f8b8,1,Rue Wilfrid-Laurier,,J1C 0P3,"1, 2",MAISON DES ARTS ET DE LA CULTURE DE BROMPTON,819 846-1122,False,Commerce,"Restauration, divertissement et hôtellerie",Diffusion culturelle,Musées d'art publics,712111.0,"Arts, spectacles et loisirs",Musées d'art publics,1160689718.0,Brompton,False,2020-07-14,2024-07-11,-71.93997569999999,45.4758478
888,0faa6e96-f88e-4b91-a5c3-e4313979ef7b,95,Rue Saint-Joseph,,J1C 0P6,1,LES CHEVALIERS DE COLOMB,819 846-6849,False,Commerce,Organismes publics et privés,"Organismes communautaires, fondations, groupes de citoyens",Organisations civiques et sociales,813410.0,Autres services (sauf les administrations publiques),Organisations civiques et sociales,1142054767.0,Brompton,False,2020-07-14,2024-07-11,-71.93935669999999,45.4746984
889,aa03c94d-cf77-478c-b097-d7ec24e8f538,2569,Chemin des Écossais,,J1C 0J5,1,ENCAN ESTRIE,819 470-8002,False,Commerce,Biens réfléchis,Ventes aux enchères,Ventes aux enchères,459999.0,Commerce de détail,Tous les autres détaillants de détail divers (sauf les détaillants de matériel pour la fabrication de la bière et du vin),,Brompton,False,2020-07-14,2024-07-16,-71.9383285,45.44866760000001
890,d17ddc07-92f1-4e6c-bafe-ce44bff7c1a7,2571,Chemin des Écossais,A,J1C 0J5,1,MULTI CONCEPT AG,819 452-1750,False,Commerce de gros/para-industriel,Services d'affaires,Services d'entretien d'immeuble,Tous les autres services relatifs aux bâtiments et aux logements,561799.0,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement",Tous les autres services relatifs aux bâtiments et aux logements,1166114802.0,Brompton,False,2020-07-14,2024-07-16,-71.93762079999999,45.4488059
891,27a6f87c-c7aa-4f6f-851d-91fc75653d29,588,Rue Saint-Lambert,,J1C 0J7,1,DOMINICK AUTO SPORT LTÉE,819 846-2751,False,Commerce,Biens réfléchis,Vente de véhicule,Concessionnaires d'automobiles d'occasion,441120.0,Commerce de détail,Concessionnaires d'automobiles d'occasion,1165602518.0,Brompton,False,2020-07-14,2024-07-16,-71.93487120000002,45.4520146
892,a3f7705b-6acb-461d-afda-5a452400b904,600,Rue Saint-Lambert,,J1C 0J7,1,AUTO PLACE CENTRE DE MÉCANIQUE PAUL GAUTHIER,819 846-3174,False,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,1148022214.0,Brompton,True,2020-07-14,2024-07-16,-71.93361809999999,45.4501464
893,3ce414f7-9679-4952-858f-bf8f3c96adc4,370,Rue Saint-Lambert,,J1C 0N9,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Brompton,False,2020-07-14,2024-07-11,-71.933329,45.4675662
894,2007b64a-be10-4475-8a4b-ed1aaca20a56,7500,Rue Saint-François Nord,,J1C 0A4,1,GARAGE L. BISAILLON,819 846-4087,False,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,,Brompton,False,2020-07-14,2024-07-11,-71.9238987,45.4732318
895,53f06f96-e5a4-4e07-9605-6875e694926f,576,Chemin de Notre-Dame-des-Mères,,J1C 0A7,1,MARCO BROCHU ENR.,819 846-2221,False,Commerce de gros/para-industriel,Services aux consommateurs,Entretien automobile,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",811121.0,Autres services (sauf les administrations publiques),"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",2241198144.0,Brompton,False,2020-07-14,2024-07-11,-71.92303749999999,45.4918539
896,059c3741-e5af-4a70-8f81-7fe5760c9bdb,528,Chemin du 4e Rang,,J1C 0A1,1,MECAN EXPERT,819 993-0211,False,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,2272677172.0,Brompton,False,2020-07-14,2024-07-11,-71.9007367,45.5078946
897,67d54e8d-ecb7-4482-894a-2a79b12967fe,731,Chemin de Notre-Dame-des-Mères,,J1C 0A7,1,LES LOISIRS DE NOTRE-DAME-DES-MÈRES INC.,,False,Commerce,"Restauration, divertissement et hôtellerie",Installations sportives et de loisirs,Toutes les autres industries du divertissement et du loisir,713999.0,"Arts, spectacles et loisirs",Toutes les autres industries du divertissement et du loisir,1142326785.0,Brompton,False,2020-07-14,2024-07-11,-71.9056994,45.51045
898,4a25676b-4516-4be4-9b39-19ca8de6c45d,2573,Chemin des Écossais,,J1C 0J5,"1,2",SOUDURE NOMADE,819 571-6516,False,Commerce de gros/para-industriel,Fabrication,Autre fabrication,Toutes les autres activités diverses de fabrication,339990.0,Fabrication,Toutes les autres activités diverses de fabrication,1176432434.0,Brompton,False,2021-03-04,2024-07-16,-71.93723419999999,45.4488177
901,2d2f4a41-c82a-4ab0-a4aa-5c5cde1c88da,39,Rue Laval,,J1C 0P9,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Brompton,False,2021-02-05,2024-07-11,-71.9432597,45.4749172
903,4465307a-ee9b-462b-b1fa-fb59c91f9420,299,Rue Laval,,J1C 0R1,1,SUBWAY,819 846-4655,False,Commerce,"Restauration, divertissement et hôtellerie",Restauration,"Restaurants rapides, Cantines",722512.0,Services d'hébergement et de restauration,Établissements de restauration à service restreint,1175087981.0,Brompton,True,2020-07-14,2024-07-15,-71.9489237,45.46965060000001
904,c03d98e2-1cc2-47f4-b9fc-58e1be432ca4,38,Rue Saint-Lambert,,J1C 0N7,1,RESTAURANT LE PRINCIPAL,819 846-6533,False,Commerce,"Restauration, divertissement et hôtellerie",Restauration,Restaurants à service complet,722511.0,Services d'hébergement et de restauration,Restaurants à service complet,1175159152.0,Brompton,False,2020-07-14,2024-07-11,-71.9427053,45.4746864
905,db95eeb6-1da7-4190-b56d-57e629b85936,525,Rue du Parc-Industriel,,J1C 0J2,"1,2",CONSTRUCTION YVON PERREAULT,819 574-7555,False,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110.0,Construction,Construction résidentielle,1143418771.0,Brompton,False,2020-07-14,2024-07-15,-71.9625372,45.46368729999999
906,511adfcf-9957-4e19-833a-596801ef2cb1,498,Rue Joseph-Latour,,J1C 0W2,1,GROUPE AIRVITA,819 238-4599,False,Commerce de gros/para-industriel,Construction,Construction,Tous les autres entrepreneurs spécialisés,238990.0,Construction,Tous les autres entrepreneurs spécialisés,1172231608.0,Brompton,False,2021-01-14,2024-07-15,-71.949398,45.4646991
907,6207ec18-134d-4b3f-b507-9bdd7150807c,492,Rue Joseph-Latour,,J1C 0R2,1,OSCAR ROBOTIQUES,514 947-8951,False,Commerce de gros/para-industriel,Fabrication,Robotiques,"Fabrication d'appareillage de connexion, de commutation et de relais et de commandes d'usage industriel",335315.0,Fabrication,"Fabrication d'appareillage de connexion, de commutation et de relais et de commandes d'usage industriel",,Brompton,False,2024-06-18,2024-07-15,-71.94940158219285,45.46470575363652
909,1e48bbb8-c921-484e-b61c-46446d674623,496,Rue Joseph-Latour,,J1C 0W2,1,SHERBROOKE GYPSE INC.,819 574-7669,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en installation de cloisons sèches et travaux d'isolation,238310.0,Construction,Entrepreneurs en installation de cloisons sèches et travaux d'isolation,1169442440.0,Brompton,False,2021-01-14,2024-07-15,-71.949398,45.4646991
911,8239367f-a587-425e-a907-a3f52b3b810e,545,Rue du Parc-Industriel,,J1C 0J2,1,MILIEM,819 846-2226,False,Commerce de gros/para-industriel,Fabrication,Machinerie,Fabrication de toutes les autres machines d'usage général,333990.0,Fabrication,Fabrication de toutes les autres machines d'usage général,1166414210.0,Brompton,False,2020-07-14,2024-07-15,-71.9621516,45.46193379999999
913,0c3f1f28-0477-4d2c-bb7a-893db611541b,537,Rue du Parc-Industriel,,J1C 0J2,1,SHERBROOKE TECH ET SERVICE,819 846-5121,False,Commerce de gros/para-industriel,Fabrication,Machinerie,Ateliers d'usinage,332710.0,Fabrication,Ateliers d'usinage,1173654907.0,Brompton,False,2020-07-14,2024-07-15,-71.9623101,45.4627014
914,dbdf2b31-e8a5-4953-acf5-1f233d3ee2a7,300,Rue Laval,,J1C 0R1,1,EXCAVATION R. TOULOUSE,819 846-0404,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en préparation de terrains,238910.0,Construction,Entrepreneurs en préparation de terrains,1164862808.0,Brompton,False,2020-07-14,2024-07-15,-71.9490459,45.4686646
915,4ea93c5d-ee67-4fe3-a961-ae12d376e2ec,56,Rue du Curé-LaRocque,,J1C 0T2,1,TRÉSORS ET TROUVAILLES,819 868-4271,False,Commerce,Biens semi-courants,Mode,Magasins de vêtements pour enfants et bébés,458113.0,Commerce de détail,Détaillants de vêtements pour enfants et bébés,2276904549.0,Brompton,False,2020-07-14,2024-07-11,-71.9444427,45.4743262
